Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[5_SAQ] Your participation in this study is completely voluntary and all your responses are treated anonymously. None of the responses will be connected to identifying information and wouldn't be shared with third parties. Data will only be used for statistical analyses. However you can withdraw from the study at any time! By simply stopping answering the daily questions without the need to give any reasons.If you would like to have further information about the research now or in the future feel free to contact Dimitar Seykov or Arya Arjomand at:d.seykov@student.utwente.nl a.arjomand@student.utwente.nl.If you have any complaints about this research please direct them to the secretary of the Ethics Committee of the Faculty of Behavioural Sciences at the University of Twente Drs. L. Kamphuis-Blikman P.O. Box 217 7500 AE Enschede (NL) telephone: +31 (0)53 489 3399; email: l.j.m.blikman@utwente.nl).,[2_SAQ] What is your gender?,[3_SAQ] What is your nationality?,[10_FFT] Please specify your nationality:,[4_NUM] What is your age?
User #26028,868db7f350c3c98b,2020-04-13 11:16:24 CEST,2020-04-13 11:16:24 CEST,2020-04-13 11:17:36 CEST,72.154,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 2) Dutch,,23
User #26030,EAC7B695CB404BF49CA5C8AD9D59E978,2020-04-12 10:33:26 CEST,2020-04-12 10:33:26 CEST,2020-04-12 11:39:06 CEST,3940.587,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 1) German,,20
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-13 10:28:20 CEST,2020-04-13 10:28:20 CEST,2020-04-13 10:29:09 CEST,48.676,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 1) German,,19
User #26036,df7ea51c171b8fb9,2020-04-13 11:13:21 CEST,2020-04-13 11:13:22 CEST,2020-04-13 11:14:24 CEST,62.226,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 2) Dutch,,18
User #26041,1d9fafc91b356144,2020-04-13 09:27:05 CEST,2020-04-13 09:31:43 CEST,2020-04-13 10:18:13 CEST,3067.229,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 2) Dutch,,20
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-13 09:06:56 CEST,2020-04-13 09:06:56 CEST,2020-04-13 09:12:02 CEST,306.091,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 1) German,,21
User #26048,671AE8F122594E649D67DF7BB2149F81,2020-04-22 12:35:40 CEST,2020-04-22 12:35:40 CEST,2020-04-22 12:36:46 CEST,Canceled,Unknown,,,,,
User #26048,671AE8F122594E649D67DF7BB2149F81,2020-04-22 12:37:03 CEST,2020-04-22 12:37:03 CEST,2020-04-22 15:06:06 CEST,8942.571,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 3) Other,India,21
User #26050,1caf64465670cea1,2020-04-13 09:46:35 CEST,2020-04-13 09:46:36 CEST,2020-04-13 09:48:08 CEST,93.181,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 1) German,,24
User #26053,ae7272bee31b9989,2020-04-13 10:47:10 CEST,2020-04-13 10:47:10 CEST,2020-04-13 10:53:38 CEST,388.485,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 2) Dutch,,30
User #26058,None,2020-04-14 02:55:37 JST,2020-04-14 05:51:54 JST,2020-04-14 05:51:54 JST,Blocked,Unknown,,,,,
User #26058,766bee10db0580dd,2020-04-14 02:55:38 JST,2020-04-14 02:55:38 JST,2020-04-14 05:53:01 JST,10643.958,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 2) Dutch,,22
User #26058,766bee10db0580dd,2020-04-14 10:09:26 JST,2020-04-14 10:09:26 JST,2020-04-14 10:10:33 JST,66.697,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 2) Dutch,,22
User #26068,ac1672bccfadf854,2020-04-14 09:51:47 CEST,2020-04-14 09:51:47 CEST,2020-04-14 10:09:20 CEST,1052.569,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 2) Dutch,,22
User #26096,124357C7D87E4635A4CD34A6C27B9F73,2020-04-14 19:15:12 CEST,2020-04-14 19:15:12 CEST,2020-04-14 19:15:48 CEST,36.126,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 1) German,,22
User #26125,1161DFFFABE64AE7B5B749DD82BCDE63,2020-04-15 22:45:33 CEST,2020-04-15 22:45:33 CEST,2020-04-15 22:46:22 CEST,49.911,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 2) Dutch,,30
User #26156,49884C49737645C1A5D64D587490C083,2020-04-16 21:35:31 EEST,2020-04-16 21:35:31 EEST,2020-04-16 21:36:27 EEST,56.251,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 3) Other,Bulgarian ,22
User #26291,8ce703868fa29cb0,2020-04-19 21:54:07 CEST,2020-04-19 21:54:13 CEST,2020-04-19 21:54:56 CEST,49.184,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 2) Dutch,,21
User #26292,0DAE7A4092974C37BF68D02D36DC9A7E,2020-04-19 21:00:17 CEST,2020-04-19 21:00:17 CEST,2020-04-19 21:01:07 CEST,49.279,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 1) German,,22
User #26293,dd62df38edb95a28,2020-04-19 22:07:09 CEST,2020-04-19 22:07:16 CEST,2020-04-19 22:07:42 CEST,33.592,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 2) Dutch,,20
User #26300,eb1c2fbf4cec078f,2020-04-20 09:54:44 CEST,2020-04-20 13:54:46 CEST,2020-04-20 14:28:11 CEST,16407.614,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 2) Dutch,,23
User #26302,811b72ea7f3a25af,2020-04-20 11:49:12 EEST,2020-04-20 11:49:24 EEST,2020-04-20 11:57:01 EEST,468.511,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 3) Other,Bulgarian,24
User #26319,9bc1c52a9f269e44,2020-04-21 12:16:28 EEST,2020-04-21 12:16:28 EEST,2020-04-21 12:18:10 EEST,101.712,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 3) Other,Bulgarian,23
User #26393,FB522C1556BF4DB197D1C1B5BFF84126,2020-04-25 12:02:56 CEST,2020-04-25 12:02:56 CEST,2020-04-25 13:17:53 CEST,4496.473,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 2) Male,(ID 1) German,,21
User #26449,6f7ee1e094b055c5,2020-04-27 22:55:36 CEST,2020-04-27 22:55:36 CEST,2020-04-27 22:56:59 CEST,83.073,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 3) Other,Indian,35
User #26512,5413ac15175b5cc4,2020-04-30 19:13:50 CEST,2020-04-30 19:13:50 CEST,2020-04-30 19:16:58 CEST,188.839,Unknown,(ID 1) I understand the above statement and agree to participate in the current study,(ID 1) Female,(ID 1) German,,21
