Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[5_SAQ] Currently I don't feel entangled in my thoughts.,[7_SAQ] At the moment I feel determined to stick to my current task until it's complete.,[8_SAQ] Any feelings of inadequacy I experience right now are shared by most people.,[13_SAQ] Right now I don't feel confident in my ability to effectively accomplish my current task.,[9_SAQ] Right now I am giving myself the caring and tenderness I need towards my negative feelings.,[10_SAQ] Right now I believe I can succeed in my current task if I set my mind to it.,[11_SAQ] I am currently struggling with my thoughts.,[14_SAQ] At the moment I don't feel committed to my current task as much as I think I should.
User #25750,5a0a109eb4e74dc2,2020-04-16 15:04:25 CEST,2020-04-16 15:04:25 CEST,2020-04-16 15:10:39 CEST,374.269,Unknown,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree
User #25750,5a0a109eb4e74dc2,2020-04-16 21:27:41 CEST,2020-04-16 21:57:42 CEST,2020-04-16 22:05:01 CEST,2239.498,Unknown,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 2) Disagree
User #25750,5a0a109eb4e74dc2,2020-04-17 09:12:40 CEST,2020-04-17 09:12:40 CEST,2020-04-17 10:42:40 CEST,Expired,Unknown,,,,,,,,
User #25750,5a0a109eb4e74dc2,2020-04-17 15:17:57 CEST,2020-04-17 15:17:58 CEST,2020-04-17 15:36:06 CEST,1088.13,Unknown,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 2) Disagree
User #25750,5a0a109eb4e74dc2,2020-04-17 20:06:49 CEST,2020-04-17 20:06:50 CEST,2020-04-17 20:15:29 CEST,519.989,Unknown,(ID 1) Strongly Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 1) Strongly Disagree
User #25750,5a0a109eb4e74dc2,2020-04-18 09:08:48 CEST,2020-04-18 09:08:48 CEST,2020-04-18 10:38:48 CEST,Expired,Unknown,,,,,,,,
User #25750,5a0a109eb4e74dc2,2020-04-18 14:27:58 CEST,2020-04-18 14:27:58 CEST,2020-04-18 14:43:22 CEST,924.594,Unknown,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 2) Disagree
User #25750,5a0a109eb4e74dc2,2020-04-18 20:39:38 CEST,2020-04-18 20:39:39 CEST,2020-04-18 21:04:17 CEST,1478.232,Unknown,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 2) Disagree
User #25750,5a0a109eb4e74dc2,2020-04-19 10:06:05 CEST,2020-04-19 10:06:05 CEST,2020-04-19 10:42:01 CEST,2155.112,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 5) Strongly Agree
User #25750,5a0a109eb4e74dc2,2020-04-19 14:26:58 CEST,2020-04-19 14:56:59 CEST,2020-04-19 15:20:15 CEST,3196.765,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree
User #25750,5a0a109eb4e74dc2,2020-04-19 21:16:12 CEST,2020-04-19 21:16:13 CEST,2020-04-19 21:20:23 CEST,250.266,Unknown,(ID 1) Strongly Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 1) Strongly Disagree,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-11 10:16:26 CEST,2020-04-11 11:01:26 CEST,2020-04-11 11:16:26 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-11 14:13:19 CEST,2020-04-11 14:58:19 CEST,2020-04-11 15:13:19 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-11 20:41:12 CEST,2020-04-11 21:26:13 CEST,2020-04-11 21:41:12 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-12 09:17:24 CEST,2020-04-12 10:02:24 CEST,2020-04-12 10:17:24 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-12 15:25:55 CEST,2020-04-12 16:10:55 CEST,2020-04-12 16:55:55 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-13 15:02:23 CEST,2020-04-13 15:47:23 CEST,2020-04-13 16:32:23 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-21 09:42:12 CEST,2020-04-21 09:42:12 CEST,2020-04-21 10:01:49 CEST,1176.693,Unknown,(ID 2) Disagree,(ID 2) Disagree,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-21 15:00:21 CEST,2020-04-21 15:00:22 CEST,2020-04-21 16:01:52 CEST,3690.986,Unknown,(ID 2) Disagree,(ID 2) Disagree,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-21 21:05:01 CEST,2020-04-21 21:05:01 CEST,2020-04-21 21:29:25 CEST,1464.892,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree
User #25839,25323b1aa893d6dc,2020-04-22 09:03:03 CEST,2020-04-22 10:03:03 CEST,2020-04-22 10:33:03 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-22 14:38:08 CEST,2020-04-22 15:08:08 CEST,2020-04-22 15:17:54 CEST,2386.067,Unknown,(ID 2) Disagree,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree
User #25839,25323b1aa893d6dc,2020-04-22 20:52:54 CEST,2020-04-22 20:52:54 CEST,2020-04-22 20:53:56 CEST,62.034,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-23 10:22:51 CEST,2020-04-23 10:22:51 CEST,2020-04-23 11:52:51 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-23 14:27:10 CEST,2020-04-23 14:27:10 CEST,2020-04-23 14:58:32 CEST,1882.009,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree
User #25839,25323b1aa893d6dc,2020-04-23 20:46:14 CEST,2020-04-23 20:46:14 CEST,2020-04-23 21:12:41 CEST,1587.261,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-24 09:31:27 CEST,2020-04-24 09:31:27 CEST,2020-04-24 11:01:27 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-24 14:53:02 CEST,2020-04-24 14:53:02 CEST,2020-04-24 16:23:02 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-24 21:28:20 CEST,2020-04-24 21:28:20 CEST,2020-04-24 22:58:20 CEST,Expired,Unknown,,,,,,,,
User #25839,25323b1aa893d6dc,2020-04-25 10:26:04 CEST,2020-04-25 10:26:04 CEST,2020-04-25 11:26:42 CEST,3638.185,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 1) Strongly Disagree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-25 14:36:50 CEST,2020-04-25 14:36:50 CEST,2020-04-25 15:07:32 CEST,1842.498,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-25 20:29:21 CEST,2020-04-25 20:29:21 CEST,2020-04-25 20:29:57 CEST,36.457,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-26 10:05:34 CEST,2020-04-26 10:05:34 CEST,2020-04-26 11:06:07 CEST,3633.14,Unknown,(ID 3) Neither,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-26 15:04:44 CEST,2020-04-26 15:04:44 CEST,2020-04-26 15:05:36 CEST,51.56,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-26 21:04:30 CEST,2020-04-26 21:04:30 CEST,2020-04-26 21:35:20 CEST,1849.84,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-27 09:21:01 CEST,2020-04-27 09:21:01 CEST,2020-04-27 09:36:01 CEST,899.422,Unknown,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-27 15:12:33 CEST,2020-04-27 15:12:33 CEST,2020-04-27 15:43:10 CEST,1837.141,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree
User #25839,25323b1aa893d6dc,2020-04-27 20:10:16 CEST,2020-04-27 20:10:16 CEST,2020-04-27 20:41:07 CEST,1851.581,Unknown,(ID 2) Disagree,(ID 2) Disagree,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree
User #25839,25323b1aa893d6dc,2020-04-28 10:07:26 CEST,2020-04-28 10:07:26 CEST,2020-04-28 10:43:53 CEST,2186.462,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree
User #25839,25323b1aa893d6dc,2020-04-28 15:06:06 CEST,2020-04-28 16:06:06 CEST,2020-04-28 16:36:06 CEST,Expired,Unknown,,,,,,,,
User #25839,None,2020-04-12 21:21:25 CEST,,,Expired,Unknown,,,,,,,,
User #25839,None,2020-04-13 10:11:55 CEST,,,Expired,Unknown,,,,,,,,
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 09:16:54 CEST,2020-04-10 09:16:54 CEST,2020-04-10 10:16:54 CEST,Expired,Unknown,,,,,,,,
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-11 09:24:37 CEST,2020-04-11 09:24:37 CEST,2020-04-11 09:26:54 CEST,137.804,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-11 14:43:50 CEST,2020-04-11 14:43:50 CEST,2020-04-11 15:03:52 CEST,1201.54,Unknown,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-11 21:27:53 CEST,2020-04-11 21:27:53 CEST,2020-04-11 21:28:57 CEST,64.17,Unknown,(ID 5) Strongly Agree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 3) Neither
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-12 09:18:08 CEST,2020-04-12 09:18:08 CEST,2020-04-12 09:53:17 CEST,2109.16,Unknown,(ID 5) Strongly Agree,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 3) Neither
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-12 15:21:24 CEST,2020-04-12 15:21:24 CEST,2020-04-12 15:22:58 CEST,93.917,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 5) Strongly Agree
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-12 20:56:15 CEST,2020-04-12 20:56:15 CEST,2020-04-12 20:57:13 CEST,58.09,Unknown,(ID 2) Disagree,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 4) Agree
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-13 10:05:48 CEST,2020-04-13 10:05:48 CEST,2020-04-13 10:22:41 CEST,1013.711,Unknown,(ID 2) Disagree,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-13 15:04:56 CEST,2020-04-13 15:04:56 CEST,2020-04-13 15:19:52 CEST,895.915,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-13 20:17:02 CEST,2020-04-13 20:17:02 CEST,2020-04-13 20:17:42 CEST,39.749,Unknown,(ID 1) Strongly Disagree,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 3) Neither
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-14 09:03:36 CEST,2020-04-14 09:03:36 CEST,2020-04-14 09:50:27 CEST,2811.458,Unknown,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-14 14:37:10 CEST,2020-04-14 14:37:10 CEST,2020-04-14 14:46:55 CEST,585.165,Unknown,(ID 2) Disagree,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree,(ID 5) Strongly Agree
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-14 20:52:53 CEST,2020-04-14 20:52:53 CEST,2020-04-14 20:54:02 CEST,68.431,Unknown,(ID 2) Disagree,(ID 3) Neither,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-15 09:15:33 CEST,2020-04-15 09:15:33 CEST,2020-04-15 09:19:31 CEST,238.51,Unknown,(ID 2) Disagree,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-15 14:11:49 CEST,2020-04-15 14:11:49 CEST,2020-04-15 15:41:49 CEST,Expired,Unknown,,,,,,,,
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-15 20:25:16 CEST,2020-04-15 20:25:16 CEST,2020-04-15 20:42:30 CEST,1033.352,Unknown,(ID 1) Strongly Disagree,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 3) Neither
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-16 09:58:16 CEST,2020-04-16 09:58:16 CEST,2020-04-16 10:17:11 CEST,1135.072,Unknown,(ID 2) Disagree,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 2) Disagree,(ID 3) Neither
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-16 14:43:38 CEST,2020-04-16 14:43:38 CEST,2020-04-16 14:44:45 CEST,67.073,Unknown,(ID 1) Strongly Disagree,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 3) Neither
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-16 20:00:28 CEST,2020-04-16 20:00:28 CEST,2020-04-16 20:22:19 CEST,1311.973,Unknown,(ID 1) Strongly Disagree,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 3) Neither
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-17 09:52:37 CEST,2020-04-17 09:52:37 CEST,2020-04-17 09:53:33 CEST,56.464,Unknown,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-17 14:35:45 CEST,2020-04-17 14:35:45 CEST,2020-04-17 15:06:40 CEST,1854.596,Unknown,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 3) Neither
User #26013,None,2020-04-10 15:23:11 CEST,,,Expired,Unknown,,,,,,,,
User #26013,None,2020-04-10 20:49:12 CEST,,,Expired,Unknown,,,,,,,,
User #26017,f57cebd654b37521,2020-04-11 09:47:32 EEST,2020-04-11 10:32:32 EEST,2020-04-11 10:47:32 EEST,Expired,Unknown,,,,,,,,
User #26017,f57cebd654b37521,2020-04-11 15:06:22 EEST,2020-04-11 15:36:24 EEST,2020-04-11 15:41:18 EEST,2096.01,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 2) Disagree
User #26017,f57cebd654b37521,2020-04-11 20:13:33 EEST,2020-04-11 20:58:34 EEST,2020-04-11 20:59:50 EEST,2777.421,Unknown,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 2) Disagree
User #26017,f57cebd654b37521,2020-04-12 09:46:30 EEST,2020-04-12 10:31:31 EEST,2020-04-12 10:42:09 EEST,3338.539,Unknown,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 2) Disagree
User #26017,f57cebd654b37521,2020-04-12 14:44:35 EEST,2020-04-12 14:44:35 EEST,2020-04-12 14:45:19 EEST,44.413,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 2) Disagree
User #26017,f57cebd654b37521,2020-04-12 21:03:00 EEST,2020-04-12 21:03:33 EEST,2020-04-12 21:08:54 EEST,354.215,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree
User #26017,f57cebd654b37521,2020-04-13 10:09:47 EEST,2020-04-13 10:24:47 EEST,2020-04-13 10:31:56 EEST,1328.808,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree
User #26017,f57cebd654b37521,2020-04-13 15:14:48 EEST,2020-04-13 15:29:50 EEST,2020-04-13 15:32:20 EEST,1051.96,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree
User #26017,f57cebd654b37521,2020-04-13 21:20:00 EEST,2020-04-13 21:20:00 EEST,2020-04-13 21:22:28 EEST,148.912,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree
User #26017,f57cebd654b37521,2020-04-14 09:56:36 EEST,2020-04-14 09:56:38 EEST,2020-04-14 09:57:25 EEST,48.497,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree
User #26017,f57cebd654b37521,2020-04-14 15:19:28 EEST,2020-04-14 15:34:30 EEST,2020-04-14 15:46:56 EEST,1647.264,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree
User #26017,f57cebd654b37521,2020-04-14 20:34:45 EEST,2020-04-14 20:34:47 EEST,2020-04-14 20:36:44 EEST,119.206,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 2) Disagree
User #26017,f57cebd654b37521,2020-04-15 14:27:44 EEST,2020-04-15 15:12:45 EEST,2020-04-15 15:57:44 EEST,Expired,Unknown,,,,,,,,
User #26017,f57cebd654b37521,2020-04-15 20:05:00 EEST,2020-04-15 20:05:00 EEST,2020-04-15 20:06:10 EEST,70.419,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 4) Agree
