Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[4_SAQ] 1. I don't always work as hard as I can.,[5_SAQ] 2. I always finish what I start﻿.,[6_SAQ] 3. I am not always motivated to do my best,[7_SAQ] 4. I always stick to the task I am working on until it is complete.,[8_SAQ] 5. I always keep working for what I want even when I don't do as well as I would like to.,[9_SAQ] 6. Sometimes I am not as focused on my work as I would like to be,[10_SAQ] 7. Challenges in my life sometimes make me want to stop trying.,[11_SAQ] 8. No matter what happens to me I will be okay.,[12_SAQ] 9. I always pay attention to what I am working on to make sure I do it well.,[13_SAQ] 10. Sometimes I don't care about my work as much as I should.,[14_SAQ] 11. I never give up even when things get tough.,[15_SAQ] 12. I am able to get through tough times without any difficulty.
User #26028,868db7f350c3c98b,2020-04-12 20:25:28 CEST,2020-04-12 20:25:29 CEST,2020-04-12 20:27:09 CEST,100.236,Unknown,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree
User #26028,868db7f350c3c98b,2020-04-12 17:08:58 CEST,2020-04-12 17:08:58 CEST,2020-04-13 14:04:20 CEST,75321.361,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 3) Neither
User #26030,EAC7B695CB404BF49CA5C8AD9D59E978,2020-04-12 11:14:04 CEST,2020-04-12 11:14:04 CEST,2020-04-12 11:31:51 CEST,1066.315,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 20:19:07 CEST,2020-04-12 20:19:07 CEST,2020-04-12 20:21:06 CEST,119.212,Unknown,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 20:53:23 CEST,2020-04-12 20:53:23 CEST,2020-04-12 20:53:23 CEST,Blocked,Unknown,,,,,,,,,,,,
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 17:09:11 CEST,2020-04-12 17:09:11 CEST,2020-04-13 14:35:35 CEST,77184.094,Unknown,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither
User #26036,df7ea51c171b8fb9,2020-04-12 19:11:57 CEST,2020-04-12 19:11:57 CEST,2020-04-12 20:32:59 CEST,4862.289,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 3) Neither,(ID 3) Neither
User #26036,df7ea51c171b8fb9,2020-04-12 21:17:30 CEST,2020-04-12 21:17:30 CEST,2020-04-12 21:17:30 CEST,Blocked,Unknown,,,,,,,,,,,,
User #26036,df7ea51c171b8fb9,2020-04-12 18:11:54 CEST,2020-04-12 18:11:54 CEST,2020-04-13 18:11:54 CEST,Expired,Unknown,,,,,,,,,,,,
User #26036,None,2020-04-12 18:11:54 CEST,,,Expired,Unknown,,,,,,,,,,,,
User #26041,1d9fafc91b356144,2020-04-12 20:34:59 CEST,2020-04-12 20:34:59 CEST,2020-04-12 20:34:59 CEST,Blocked,Unknown,,,,,,,,,,,,
User #26041,1d9fafc91b356144,2020-04-12 19:35:54 CEST,2020-04-12 19:35:54 CEST,2020-04-12 22:44:26 CEST,11312.08,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 2) Disagree
User #26041,1d9fafc91b356144,2020-04-12 17:10:55 CEST,2020-04-13 14:24:09 CEST,2020-04-13 14:28:13 CEST,76638.006,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 19:44:24 CEST,2020-04-12 19:44:24 CEST,2020-04-12 20:00:48 CEST,984.188,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 20:18:17 CEST,2020-04-12 20:18:17 CEST,2020-04-12 20:18:17 CEST,Blocked,Unknown,,,,,,,,,,,,
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 17:38:03 CEST,2020-04-12 17:38:03 CEST,2020-04-13 15:36:21 CEST,79097.774,Unknown,(ID 3) Neither,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither
User #26048,671AE8F122594E649D67DF7BB2149F81,2020-04-22 12:37:03 CEST,2020-04-22 12:37:03 CEST,2020-04-22 15:09:23 CEST,9140.162,Unknown,(ID 5) Strongly Agree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 2) Disagree
User #26050,1caf64465670cea1,2020-04-12 19:57:59 CEST,2020-04-12 19:57:59 CEST,2020-04-12 20:09:50 CEST,711.248,Unknown,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 2) Disagree
User #26050,1caf64465670cea1,2020-04-12 21:11:56 CEST,2020-04-13 14:03:32 CEST,2020-04-13 14:13:28 CEST,61292.713,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 2) Disagree
User #26053,ae7272bee31b9989,2020-04-12 20:23:32 CEST,2020-04-12 20:23:32 CEST,2020-04-13 16:53:53 CEST,73821.568,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 1) Strongly Disagree,(ID 4) Agree,(ID 3) Neither
User #26058,766bee10db0580dd,2020-04-13 19:49:59 JST,2020-04-13 19:50:00 JST,2020-04-13 20:12:31 JST,1352.507,Unknown,(ID 3) Neither,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
User #26058,766bee10db0580dd,2020-04-13 20:31:42 JST,2020-04-13 20:31:42 JST,2020-04-13 20:31:42 JST,Blocked,Unknown,,,,,,,,,,,,
User #26058,766bee10db0580dd,2020-04-13 18:30:45 JST,2020-04-13 18:30:45 JST,2020-04-13 20:59:11 JST,8906.276,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
User #26068,ac1672bccfadf854,2020-04-13 20:47:38 CEST,2020-04-13 20:47:46 CEST,2020-04-13 20:52:59 CEST,320.413,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree,(ID 4) Agree
User #26096,124357C7D87E4635A4CD34A6C27B9F73,2020-04-14 19:15:12 CEST,2020-04-14 19:15:12 CEST,2020-04-14 19:19:16 CEST,244.349,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree
User #26125,1161DFFFABE64AE7B5B749DD82BCDE63,2020-04-15 22:45:33 CEST,2020-04-15 22:45:33 CEST,2020-04-15 22:56:23 CEST,650.666,Unknown,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 1) Strongly Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree
User #26156,49884C49737645C1A5D64D587490C083,2020-04-16 21:35:31 EEST,2020-04-16 21:35:31 EEST,2020-04-16 21:41:56 EEST,385.624,Unknown,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 3) Neither
User #26291,8ce703868fa29cb0,2020-04-19 21:54:07 CEST,2020-04-19 21:54:07 CEST,2020-04-19 21:59:58 CEST,351.74,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree
User #26292,0DAE7A4092974C37BF68D02D36DC9A7E,2020-04-19 21:00:17 CEST,2020-04-19 21:00:17 CEST,2020-04-19 21:05:53 CEST,335.447,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree
User #26293,dd62df38edb95a28,2020-04-19 22:07:09 CEST,2020-04-19 22:07:09 CEST,2020-04-19 22:18:52 CEST,702.826,Unknown,(ID 5) Strongly Agree,(ID 2) Disagree,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither
User #26300,eb1c2fbf4cec078f,2020-04-20 09:54:44 CEST,2020-04-20 13:54:45 CEST,2020-04-20 14:36:09 CEST,16885.638,Unknown,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 1) Strongly Disagree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree
User #26302,811b72ea7f3a25af,2020-04-20 11:49:12 EEST,2020-04-20 11:49:12 EEST,2020-04-20 12:04:10 EEST,897.837,Unknown,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither
User #26319,9bc1c52a9f269e44,2020-04-21 12:16:28 EEST,2020-04-21 12:16:28 EEST,2020-04-21 13:19:42 EEST,3793.861,Unknown,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 4) Agree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 3) Neither
User #26393,FB522C1556BF4DB197D1C1B5BFF84126,2020-04-25 12:02:56 CEST,2020-04-25 12:02:56 CEST,2020-04-25 13:25:57 CEST,4981.103,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 2) Disagree
User #26449,6f7ee1e094b055c5,2020-04-27 22:55:36 CEST,2020-04-27 22:55:36 CEST,2020-04-27 23:04:17 CEST,520.978,Unknown,(ID 1) Strongly Disagree,(ID 5) Strongly Agree,(ID 1) Strongly Disagree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 1) Strongly Disagree,(ID 5) Strongly Agree,(ID 2) Disagree
User #26512,5413ac15175b5cc4,2020-04-30 19:13:50 CEST,2020-04-30 19:13:50 CEST,2020-04-30 19:16:17 CEST,147.773,Unknown,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 2) Disagree
