Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[4_SAQ] 1. I will be able to achieve most of the goals that I have set for myself. ,[5_SAQ] 2. When facing difficult tasks I am certain that I will accomplish them. ,[6_SAQ] 3. In general I think that I can obtain outcomes that are important to me. ,[7_SAQ] 4. I believe I can succeed at most any endeavor to which I set my mind. ,[8_SAQ] 5. I will be able to successfully overcome many challenges. ,[9_SAQ] 6. I am confident that I can perform effectively on many different tasks. ,[10_SAQ] 7. Compared to other people I can do most tasks very well. ,[11_SAQ] 8. Even when things are tough I can perform quite well. 
User #26053,ae7272bee31b9989,2020-04-12 20:23:32 CEST,2020-04-12 20:23:32 CEST,2020-04-13 16:59:19 CEST,74147.82,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
User #26058,766bee10db0580dd,2020-04-13 20:43:09 JST,2020-04-13 20:43:09 JST,2020-04-13 20:43:09 JST,Blocked,Unknown,,,,,,,,
User #26058,766bee10db0580dd,2020-04-13 16:23:10 JST,2020-04-13 20:52:41 JST,2020-04-13 20:54:51 JST,16300.727,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
User #26058,766bee10db0580dd,2020-04-13 21:00:02 JST,2020-04-13 21:00:03 JST,2020-04-13 21:01:19 JST,76.682,Unknown,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
User #26068,ac1672bccfadf854,2020-04-13 20:47:38 CEST,2020-04-13 20:47:46 CEST,2020-04-13 20:53:45 CEST,366.818,Unknown,(ID 2) Disagree,(ID 2) Disagree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree
User #26096,124357C7D87E4635A4CD34A6C27B9F73,2020-04-14 19:15:12 CEST,2020-04-14 19:15:12 CEST,2020-04-14 19:20:05 CEST,292.982,Unknown,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither
User #26125,1161DFFFABE64AE7B5B749DD82BCDE63,2020-04-15 22:45:33 CEST,2020-04-15 22:45:33 CEST,2020-04-15 22:57:19 CEST,706.124,Unknown,(ID 4) Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 4) Agree
User #26156,49884C49737645C1A5D64D587490C083,2020-04-16 21:35:31 EEST,2020-04-16 21:35:31 EEST,2020-04-16 21:42:41 EEST,430.495,Unknown,(ID 5) Strongly Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree
User #26291,8ce703868fa29cb0,2020-04-19 21:54:07 CEST,2020-04-19 21:54:07 CEST,2020-04-19 22:00:44 CEST,397.233,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree
User #26292,0DAE7A4092974C37BF68D02D36DC9A7E,2020-04-19 21:00:17 CEST,2020-04-19 21:00:17 CEST,2020-04-19 21:06:57 CEST,399.095,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither
User #26293,dd62df38edb95a28,2020-04-19 22:07:09 CEST,2020-04-19 22:07:09 CEST,2020-04-19 22:19:43 CEST,754.239,Unknown,(ID 2) Disagree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree
User #26300,eb1c2fbf4cec078f,2020-04-20 09:54:44 CEST,2020-04-20 13:54:46 CEST,2020-04-20 14:37:22 CEST,16958.007,Unknown,(ID 3) Neither,(ID 4) Agree,(ID 5) Strongly Agree,(ID 3) Neither,(ID 5) Strongly Agree,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither
User #26302,811b72ea7f3a25af,2020-04-20 11:49:12 EEST,2020-04-20 11:49:12 EEST,2020-04-20 12:06:36 EEST,1043.875,Unknown,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree
User #26319,9bc1c52a9f269e44,2020-04-21 12:16:28 EEST,2020-04-21 12:16:28 EEST,2020-04-21 13:23:05 EEST,3997.22,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 5) Strongly Agree,(ID 5) Strongly Agree,(ID 4) Agree,(ID 3) Neither,(ID 4) Agree
User #26393,FB522C1556BF4DB197D1C1B5BFF84126,2020-04-25 12:02:56 CEST,2020-04-25 12:02:56 CEST,2020-04-25 13:26:50 CEST,5034.191,Unknown,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 3) Neither
User #26449,6f7ee1e094b055c5,2020-04-27 22:55:36 CEST,2020-04-27 22:55:36 CEST,2020-04-27 23:06:13 CEST,637.436,Unknown,(ID 4) Agree,(ID 2) Disagree,(ID 4) Agree,(ID 2) Disagree,(ID 3) Neither,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither
User #26512,5413ac15175b5cc4,2020-04-30 19:13:50 CEST,2020-04-30 19:13:50 CEST,2020-04-30 19:23:02 CEST,552.594,Unknown,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 4) Agree,(ID 3) Neither,(ID 3) Neither,(ID 4) Agree
