Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[8_SAQ] When I fail at something important to me I become consumed by feelings of inadequacy.,[29_SAQ]  I try to be understanding and patient towards those aspects of my personality I don't like.,[6_SAQ]  When something painful happens I try to take a balanced view of the situation. ,[3_SAQ]  When I’m feeling down I tend to feel like most other people are probably happier than I am.,[10_SAQ]  I try to see my failings as part of the human condition.,[11_SAQ] When I’m going through a very hard time I give myself the caring and tenderness I need. ,[12_SAQ] When something upsets me I try to keep my emotions in balance. ,[13_SAQ] When I fail at something that’s important to me I tend to feel alone in my failure.,[14_SAQ] When I’m feeling down I tend to obsess and fixate on everything that’s wrong. ,[15_SAQ] When I feel inadequate in some way I try to remind myself that feelings of inadequacy are shared by most people. ,[16_SAQ]  I’m disapproving and judgmental about my own flaws and inadequacies. ,[17_SAQ] I’m intolerant and impatient towards those aspects of my personality I don’t like.
User #26028,868db7f350c3c98b,2020-04-12 20:20:18 CEST,2020-04-12 20:20:19 CEST,2020-04-12 20:29:13 CEST,534.803,Unknown,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 5) Almost Always,(ID 5) Almost Always,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 1) Almost Never
User #26028,868db7f350c3c98b,2020-04-12 21:05:34 CEST,2020-04-12 21:05:34 CEST,2020-04-12 21:05:34 CEST,Blocked,Unknown,,,,,,,,,,,,
User #26028,868db7f350c3c98b,2020-04-12 18:29:36 CEST,2020-04-12 18:29:36 CEST,2020-04-13 14:03:00 CEST,70404.194,Unknown,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally
User #26030,EAC7B695CB404BF49CA5C8AD9D59E978,2020-04-12 11:03:16 CEST,2020-04-12 11:03:16 CEST,2020-04-12 11:36:21 CEST,1985.105,Unknown,(ID 2) Occasionally,(ID 1) Almost Never,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 5) Almost Always,(ID 2) Occasionally,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 3) About Half of The Time
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 20:10:22 CEST,2020-04-12 20:10:22 CEST,2020-04-12 20:10:22 CEST,Blocked,Unknown,,,,,,,,,,,,
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 20:12:38 CEST,2020-04-12 20:12:38 CEST,2020-04-12 20:16:37 CEST,239.203,Unknown,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 17:50:56 CEST,2020-04-12 17:50:56 CEST,2020-04-13 14:34:18 CEST,74601.655,Unknown,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 3) About Half of The Time
User #26036,df7ea51c171b8fb9,2020-04-12 20:04:31 CEST,2020-04-12 20:04:31 CEST,2020-04-12 20:04:31 CEST,Blocked,Unknown,,,,,,,,,,,,
User #26036,df7ea51c171b8fb9,2020-04-12 19:16:26 CEST,2020-04-12 19:16:26 CEST,2020-04-12 20:37:00 CEST,4834.244,Unknown,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 2) Occasionally,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 2) Occasionally
User #26036,None,2020-04-12 16:30:35 CEST,,,Expired,Unknown,,,,,,,,,,,,
User #26041,1d9fafc91b356144,2020-04-12 20:20:44 CEST,2020-04-12 20:20:44 CEST,2020-04-12 20:20:44 CEST,Blocked,Unknown,,,,,,,,,,,,
User #26041,1d9fafc91b356144,2020-04-12 20:58:48 CEST,2020-04-12 20:58:48 CEST,2020-04-12 22:42:29 CEST,6221.185,Unknown,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 1) Almost Never,(ID 2) Occasionally,(ID 2) Occasionally
User #26041,1d9fafc91b356144,2020-04-12 17:31:03 CEST,2020-04-13 14:24:09 CEST,2020-04-13 14:27:15 CEST,75371.985,Unknown,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 2) Occasionally,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 2) Occasionally
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 20:13:21 CEST,2020-04-12 20:13:21 CEST,2020-04-12 20:18:46 CEST,325.33,Unknown,(ID 3) About Half of the Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 2) Occasionally
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 21:24:57 CEST,2020-04-12 21:24:57 CEST,2020-04-12 21:24:57 CEST,Blocked,Unknown,,,,,,,,,,,,
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 16:08:00 CEST,2020-04-12 16:08:00 CEST,2020-04-13 15:33:26 CEST,84326.651,Unknown,(ID 1) Almost Never,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 2) Occasionally,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally
User #26048,671AE8F122594E649D67DF7BB2149F81,2020-04-22 12:37:03 CEST,2020-04-22 12:37:03 CEST,2020-04-22 15:08:24 CEST,9080.756,Unknown,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 5) Almost Always,(ID 2) Occasionally,(ID 5) Almost Always,(ID 1) Almost Never,(ID 1) Almost Never,(ID 5) Almost Always,(ID 3) About Half of The Time,(ID 1) Almost Never
User #26050,1caf64465670cea1,2020-04-12 20:48:48 CEST,2020-04-12 20:48:48 CEST,2020-04-12 20:50:48 CEST,119.305,Unknown,(ID 3) About Half of the Time,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 5) Almost Always,(ID 2) Occasionally,(ID 5) Almost Always,(ID 4) Fairly Often
User #26050,1caf64465670cea1,2020-04-12 20:50:58 CEST,2020-04-13 14:03:32 CEST,2020-04-13 14:15:52 CEST,62693.416,Unknown,(ID 5) Almost Always,(ID 1) Almost Never,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 5) Almost Always,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 5) Almost Always
User #26053,ae7272bee31b9989,2020-04-12 20:23:32 CEST,2020-04-12 20:23:32 CEST,2020-04-13 16:57:55 CEST,74063.071,Unknown,(ID 2) Occasionally,(ID 5) Almost Always,(ID 5) Almost Always,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 3) About Half of The Time
User #26058,766bee10db0580dd,2020-04-13 20:27:16 JST,2020-04-13 20:27:16 JST,2020-04-13 20:32:29 JST,313.034,Unknown,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 2) Occasionally,(ID 1) Almost Never,(ID 1) Almost Never
User #26058,766bee10db0580dd,2020-04-13 20:34:29 JST,2020-04-13 20:34:29 JST,2020-04-13 20:34:29 JST,Blocked,Unknown,,,,,,,,,,,,
User #26058,766bee10db0580dd,2020-04-13 18:04:38 JST,2020-04-13 18:04:38 JST,2020-04-13 21:00:41 JST,10562.847,Unknown,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 2) Occasionally,(ID 2) Occasionally,(ID 2) Occasionally,(ID 2) Occasionally
User #26068,ac1672bccfadf854,2020-04-13 20:47:38 CEST,2020-04-13 20:47:45 CEST,2020-04-13 20:51:40 CEST,241.792,Unknown,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 1) Almost Never,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 5) Almost Always,(ID 5) Almost Always
User #26096,124357C7D87E4635A4CD34A6C27B9F73,2020-04-14 19:15:12 CEST,2020-04-14 19:15:12 CEST,2020-04-14 19:18:13 CEST,180.45,Unknown,(ID 3) About Half of the Time,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 5) Almost Always,(ID 2) Occasionally
User #26125,1161DFFFABE64AE7B5B749DD82BCDE63,2020-04-15 22:45:33 CEST,2020-04-15 22:45:33 CEST,2020-04-15 22:54:01 CEST,508.669,Unknown,(ID 3) About Half of the Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 1) Almost Never,(ID 2) Occasionally,(ID 1) Almost Never,(ID 2) Occasionally
User #26156,49884C49737645C1A5D64D587490C083,2020-04-16 21:35:31 EEST,2020-04-16 21:35:31 EEST,2020-04-16 21:40:30 EEST,299.563,Unknown,(ID 2) Occasionally,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 5) Almost Always,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 5) Almost Always,(ID 2) Occasionally,(ID 2) Occasionally
User #26291,8ce703868fa29cb0,2020-04-19 21:54:07 CEST,2020-04-19 21:54:14 CEST,2020-04-19 21:58:25 CEST,258.325,Unknown,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 2) Occasionally,(ID 2) Occasionally
User #26292,0DAE7A4092974C37BF68D02D36DC9A7E,2020-04-19 21:00:17 CEST,2020-04-19 21:00:17 CEST,2020-04-19 21:04:28 CEST,250.44,Unknown,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 1) Almost Never,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 3) About Half of The Time
User #26293,dd62df38edb95a28,2020-04-19 22:07:09 CEST,2020-04-19 22:07:17 CEST,2020-04-19 22:15:39 CEST,509.784,Unknown,(ID 3) About Half of the Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 2) Occasionally
User #26300,eb1c2fbf4cec078f,2020-04-20 09:54:44 CEST,2020-04-20 13:54:46 CEST,2020-04-20 14:33:46 CEST,16742.203,Unknown,(ID 1) Almost Never,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 5) Almost Always,(ID 2) Occasionally,(ID 5) Almost Always,(ID 4) Fairly Often,(ID 1) Almost Never
User #26302,811b72ea7f3a25af,2020-04-20 11:49:12 EEST,2020-04-20 11:49:12 EEST,2020-04-20 12:01:41 EEST,749.057,Unknown,(ID 3) About Half of the Time,(ID 2) Occasionally,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 2) Occasionally,(ID 4) Fairly Often
User #26319,9bc1c52a9f269e44,2020-04-21 12:16:28 EEST,2020-04-21 12:16:28 EEST,2020-04-21 12:54:55 EEST,2306.969,Unknown,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 5) Almost Always,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 3) About Half of The Time
User #26393,FB522C1556BF4DB197D1C1B5BFF84126,2020-04-25 12:02:56 CEST,2020-04-25 12:02:56 CEST,2020-04-25 13:24:12 CEST,4876.018,Unknown,(ID 4) Fairly Often,(ID 5) Almost Always,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 2) Occasionally
User #26449,6f7ee1e094b055c5,2020-04-27 22:55:36 CEST,2020-04-27 22:55:36 CEST,2020-04-27 23:02:07 CEST,391.525,Unknown,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 3) About Half of The Time,(ID 1) Almost Never,(ID 3) About Half of The Time,(ID 1) Almost Never,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 1) Almost Never,(ID 3) About Half of The Time,(ID 3) About Half of The Time
User #26512,5413ac15175b5cc4,2020-04-30 19:13:50 CEST,2020-04-30 19:13:50 CEST,2020-04-30 19:21:37 CEST,467.29,Unknown,(ID 3) About Half of the Time,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 2) Occasionally,(ID 3) About Half of The Time,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 4) Fairly Often,(ID 3) About Half of The Time,(ID 2) Occasionally,(ID 1) Almost Never
