Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location,[2_SAQ] I am so caught up in my thoughts that I don't know what to do,[3_SAQ] My thoughts are causing me distress or emotional pain,[4_SAQ] I am over-analysing the situation to the point where it's unhelpful to me,[5_SAQ] I am struggling with my thoughts,[6_SAQ] I am upset with myself for having certain thoughts,[7_SAQ] I am very entangled in my thoughts,[8_SAQ] It's such a struggle to let go of upsetting thoughts even though I know that letting go would be helpful
User #26041,1d9fafc91b356144,2020-04-12 18:05:46 CEST,2020-04-13 14:24:10 CEST,2020-04-13 14:24:35 CEST,Canceled,Unknown,,,,,,,
User #26041,1d9fafc91b356144,2020-04-13 19:51:53 CEST,2020-04-13 19:59:28 CEST,2020-04-13 20:00:32 CEST,518.933,Unknown,(ID 3) Somewhat untrue,(ID 2) Very untrue,(ID 5) Somewhat true,(ID 3) Somewhat untrue,(ID 2) Very untrue,(ID 2) Very untrue,(ID 3) Somewhat untrue
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 19:33:04 CEST,2020-04-12 19:33:04 CEST,2020-04-12 20:01:41 CEST,1716.716,Unknown,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 3) Somewhat untrue,(ID 5) Somewhat true
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 20:46:15 CEST,2020-04-12 20:46:15 CEST,2020-04-12 20:46:15 CEST,Blocked,Unknown,,,,,,,
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 18:10:03 CEST,2020-04-12 18:10:03 CEST,2020-04-13 15:35:27 CEST,77123.765,Unknown,(ID 2) Very untrue,(ID 2) Very untrue,(ID 4) Neither true nor untrue,(ID 3) Somewhat untrue,(ID 2) Very untrue,(ID 3) Somewhat untrue,(ID 1) Completely untrue
User #26048,671AE8F122594E649D67DF7BB2149F81,2020-04-22 12:37:03 CEST,2020-04-22 12:37:03 CEST,2020-04-22 15:06:53 CEST,8990.162,Unknown,(ID 2) Very untrue,(ID 1) Completely untrue,(ID 1) Completely untrue,(ID 1) Completely untrue,(ID 2) Very untrue,(ID 2) Very untrue,(ID 1) Completely untrue
User #26050,1caf64465670cea1,2020-04-12 20:42:00 CEST,2020-04-12 20:42:00 CEST,2020-04-12 20:43:27 CEST,86.574,Unknown,(ID 5) Somewhat true,(ID 6) Very true,(ID 6) Very true,(ID 6) Very true,(ID 7) Completely true,(ID 5) Somewhat true,(ID 6) Very true
User #26050,1caf64465670cea1,2020-04-12 20:56:39 CEST,2020-04-13 14:03:32 CEST,2020-04-13 14:10:28 CEST,62028.399,Unknown,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 6) Very true,(ID 6) Very true,(ID 7) Completely true,(ID 6) Very true,(ID 6) Very true
User #26053,ae7272bee31b9989,2020-04-12 20:23:32 CEST,2020-04-12 20:23:32 CEST,2020-04-13 16:55:29 CEST,73917.095,Unknown,(ID 2) Very untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 2) Very untrue,(ID 3) Somewhat untrue,(ID 1) Completely untrue,(ID 3) Somewhat untrue
User #26058,766bee10db0580dd,2020-04-13 19:57:39 JST,2020-04-13 19:57:39 JST,2020-04-13 20:08:49 JST,669.992,Unknown,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue
User #26058,766bee10db0580dd,2020-04-13 16:15:29 JST,2020-04-13 20:52:41 JST,2020-04-13 20:53:47 JST,16698.373,Unknown,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue
User #26058,766bee10db0580dd,2020-04-13 20:56:21 JST,2020-04-13 20:56:21 JST,2020-04-13 20:58:06 JST,104.774,Unknown,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue
User #26068,ac1672bccfadf854,2020-04-13 20:47:38 CEST,2020-04-13 20:47:45 CEST,2020-04-13 20:49:37 CEST,118.54,Unknown,(ID 5) Somewhat true,(ID 3) Somewhat untrue,(ID 5) Somewhat true,(ID 6) Very true,(ID 6) Very true,(ID 5) Somewhat true,(ID 3) Somewhat untrue
User #26096,124357C7D87E4635A4CD34A6C27B9F73,2020-04-14 19:15:12 CEST,2020-04-14 19:15:12 CEST,2020-04-14 19:16:42 CEST,89.442,Unknown,(ID 7) Completely true,(ID 6) Very true,(ID 7) Completely true,(ID 4) Neither true nor untrue,(ID 5) Somewhat true,(ID 7) Completely true,(ID 7) Completely true
User #26125,1161DFFFABE64AE7B5B749DD82BCDE63,2020-04-15 22:45:33 CEST,2020-04-15 22:45:33 CEST,2020-04-15 22:51:21 CEST,348.325,Unknown,(ID 3) Somewhat untrue,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 2) Very untrue,(ID 2) Very untrue,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue
User #26156,49884C49737645C1A5D64D587490C083,2020-04-16 21:35:31 EEST,2020-04-16 21:35:31 EEST,2020-04-16 21:38:19 EEST,168.714,Unknown,(ID 2) Very untrue,(ID 5) Somewhat true,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 2) Very untrue,(ID 2) Very untrue
User #26291,8ce703868fa29cb0,2020-04-19 21:54:07 CEST,2020-04-19 21:54:14 CEST,2020-04-19 21:56:24 CEST,137.34,Unknown,(ID 3) Somewhat untrue,(ID 2) Very untrue,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 3) Somewhat untrue,(ID 5) Somewhat true
User #26292,0DAE7A4092974C37BF68D02D36DC9A7E,2020-04-19 21:00:17 CEST,2020-04-19 21:00:17 CEST,2020-04-19 21:02:29 CEST,131.588,Unknown,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 4) Neither true nor untrue,(ID 5) Somewhat true,(ID 6) Very true,(ID 4) Neither true nor untrue,(ID 7) Completely true
User #26293,dd62df38edb95a28,2020-04-19 22:07:09 CEST,2020-04-19 22:07:17 CEST,2020-04-19 22:10:20 CEST,191.384,Unknown,(ID 4) Neither true nor untrue,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 5) Somewhat true
User #26300,eb1c2fbf4cec078f,2020-04-20 09:54:44 CEST,2020-04-20 13:54:45 CEST,2020-04-20 14:30:27 CEST,16543.421,Unknown,(ID 2) Very untrue,(ID 2) Very untrue,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 7) Completely true,(ID 2) Very untrue,(ID 5) Somewhat true
User #26302,811b72ea7f3a25af,2020-04-20 11:49:12 EEST,2020-04-20 11:49:23 EEST,2020-04-20 11:54:56 EEST,343.604,Unknown,(ID 4) Neither true nor untrue,(ID 3) Somewhat untrue,(ID 5) Somewhat true,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 6) Very true
User #26319,9bc1c52a9f269e44,2020-04-21 12:16:28 EEST,2020-04-21 12:16:28 EEST,2020-04-21 12:24:23 EEST,475.319,Unknown,(ID 6) Very true,(ID 5) Somewhat true,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 4) Neither true nor untrue,(ID 6) Very true,(ID 5) Somewhat true
User #26393,FB522C1556BF4DB197D1C1B5BFF84126,2020-04-25 12:02:56 CEST,2020-04-25 12:02:56 CEST,2020-04-25 13:19:05 CEST,4569.07,Unknown,(ID 5) Somewhat true,(ID 5) Somewhat true,(ID 6) Very true,(ID 5) Somewhat true,(ID 4) Neither true nor untrue,(ID 6) Very true,(ID 3) Somewhat untrue
User #26449,6f7ee1e094b055c5,2020-04-27 22:55:36 CEST,2020-04-27 22:55:36 CEST,2020-04-27 22:59:23 CEST,227.151,Unknown,(ID 5) Somewhat true,(ID 2) Very untrue,(ID 5) Somewhat true,(ID 2) Very untrue,(ID 2) Very untrue,(ID 5) Somewhat true,(ID 5) Somewhat true
User #26512,5413ac15175b5cc4,2020-04-30 19:13:50 CEST,2020-04-30 19:13:50 CEST,2020-04-30 19:18:41 CEST,291.309,Unknown,(ID 5) Somewhat true,(ID 4) Neither true nor untrue,(ID 3) Somewhat untrue,(ID 3) Somewhat untrue,(ID 4) Neither true nor untrue,(ID 2) Very untrue,(ID 2) Very untrue
